Info,Version=1.0.0,Template=fx_category_template_EBAY_MOTOR,,,,,,,,,,,,,,,,,,,,,,
*Action(SiteID=eBayMotors|Country=AE|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,*Title,Relationship,RelationshipDetails,*StartPrice,*Quantity,PicURL,*ConditionID,*Description,*Format,*Duration,*Location,*C:Brand,C:Type,C:Placement on Vehicle,C:Material,C:Features,C:Country of Origin,C:Manufacturer Part Number,C:OE/OEM Part Number,ShippingProfileName,ReturnProfileName,PaymentProfileName
Add,BU1-7409_Ghibli,33705,2014-2021 Maserati Ghibli Rear Right Door Interior Trim Molding 670010893,,,69,1,https://gridximges.s3.me-central-1.amazonaws.com/blackline/670010893_1.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/670010893_2.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/670010893_3.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/670010893_4.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/670010893_5.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/670010893_6.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/670010893_7.jpg,3000-Used,"<style>:root{--primary-black:#1a1a1a;--primary-white:#ffffff;--orange-primary:#fa5c1c;--orange-light:#fff4ed;--gray-text:#4a4a4a;--gray-light:#f9f9f9;--gray-border:#dce1e6;}body,html{margin:0;padding:0;background-color:var(--primary-white);color:var(--gray-text);font-family:Arial,Helvetica,sans-serif;}.wrapper{max-width:850px;margin:20px auto;background-color:var(--gray-light);border-radius:16px;padding:20px;box-sizing:border-box;border:2px solid var(--orange-primary);}.container{max-width:800px;margin:0 auto;padding:0;}.banner{width:100%;border-radius:12px;margin-bottom:20px;border:1px solid var(--orange-primary);}.header{display:flex;align-items:center;justify-content:space-between;gap:20px;padding:15px;background:var(--primary-white);border-radius:12px;border:1px solid var(--gray-border);flex-wrap:wrap;margin-bottom:25px;}.title-container{flex:1;min-width:300px;}.title{font-size:22px;font-weight:700;color:var(--primary-black);line-height:1.3;margin:0 0 5px 0;}.subtitle{font-size:15px;color:var(--gray-text);font-weight:500;}.stamp{width:200px;height:auto;object-fit:contain;flex-shrink:0;}.main-content{display:flex;flex-wrap:wrap;margin-bottom:25px;}.product-details{flex:1;min-width:320px;background:var(--primary-white);border:1px solid var(--gray-border);border-radius:12px;padding:25px;}.product-details h3{font-size:18px;font-weight:700;color:var(--primary-black);margin:0 0 15px 0;border-bottom:2px solid var(--orange-primary);padding-bottom:8px;}.product-details p{font-size:15px;line-height:1.6;margin:0 0 15px 0;}.product-details strong{font-weight:600;color:var(--primary-black);}.fitment-container h3{font-size:18px;font-weight:700;color:var(--primary-black);margin:0 0 15px 0;}.fitment-container{margin-top:25px;}.fitment-container table{border:1px solid var(--gray-border);border-radius:12px;overflow:hidden;}.fitment-container h3{border-bottom:2px solid var(--orange-primary);padding-bottom:8px;}.fitment-container table.fitment{width:100%;border-collapse:collapse;margin-bottom:25px;background:var(--primary-white);}table.fitment th,table.fitment td{padding:12px 15px;text-align:left;border-bottom:1px solid var(--gray-border);}table.fitment th{background-color:var(--primary-black);color:var(--primary-white);font-weight:600;font-size:15px;}table.fitment td{font-size:15px;}table.fitment tbody tr:last-child td{border-bottom:none;}table.fitment tbody tr:nth-child(even){background-color:var(--gray-light);}.seller-info{margin-top:20px;font-size:15px;line-height:1.6;}.seller-info ul{list-style:none;padding-left:0;}.seller-info li::before{content:"""";}.disclaimer{margin-top:25px;padding:20px;background:var(--orange-light);border:1px solid var(--orange-primary);border-radius:12px;}.disclaimer h3{font-size:16px;font-weight:700;color:var(--orange-primary);margin:0 0 10px 0;}.disclaimer p{font-size:14px;line-height:1.6;margin:0;color:var(--gray-text);}</style><div class=""wrapper""><div class=""container""><img src=""https://gridximges.s3.me-central-1.amazonaws.com/BLK_Desc_Banner.jpeg"" alt=""Blackline Banner"" class=""banner""/><div class=""header""><div class=""title-container""><h1 class=""title"">2014-2021 Maserati Ghibli Rear Right Door Interior Trim Molding 670010893</h1><p class=""subtitle""><strong>Vehicle:</strong> Maserati Ghibli | <strong>Model Years:</strong> 2014-2021 | <strong>Part No:</strong> 670010893</p></div><img src=""https://gridximges.s3.me-central-1.amazonaws.com/logos/BLKStamp.jpg"" alt=""Authenticity Stamp"" class=""stamp"" /></div><div class=""main-content""><div class=""product-details""><h3>Product Description</h3><p>Genuine OEM Maserati Ghibli Rear Right Side Door Interior Trim Molding (P/N: 670010893) in excellent condition. This authentic interior trim piece is compatible with 2014-2019 Maserati Ghibli models and includes all necessary mounting clips for hassle-free installation. Professionally tested and verified to ensure perfect fitment and functionality for your luxury vehicle. Save significantly compared to dealership pricing while maintaining the premium look and feel of your Maserati's interior.</p>

<p>This black trim molding maintains the elegant aesthetic of your Ghibli's cabin while providing substantial cost savings over purchasing new. Each part undergoes thorough inspection before shipping to guarantee you receive a quality component that matches your vehicle's specifications. Compatible with both RWD models and the 3.0L engine configuration. Restore your Maserati's interior to factory condition with this genuine OEM part.</p><div class=""seller-info""><ul><li>&#9989; 100% tested and verified <b>By Blackline Auto's Quality Team</b></li><li>&#9989; <b>Genuine OEM, Excellent Condition</b>, inspected and approved</li><li>&#9989; Easy installation</li></ul><h3>Payment, Shipping & Returns</h3><ul><li><strong>&#128312; Payment Policy:</strong> We accept only online payment methods, and you can choose any of the options provided by eBay at the time of checkout. If you have any queries or if you require any clarification, please contact us through eBay messaging service.</li><li><strong>&#128312; Shipping Policy:</strong> We provide Shipping worldwide to most of the countries using reputed couriers like DHL, FedEx or Aramex.</li><li><strong>&#128312; International Buyers Policy:</strong> Import Duties, Taxes and charges are not included in the item price or shipping cost.</li><li><strong>&#128312; Return Policy:</strong> We accept 14 days returns. Please clarify all your doubts before purchase.</li><li><strong>&#128312; Handling Time:</strong> All packages are shipped within 3 working days.</li></ul><p>Trusted by professionals, Blackline Autos supplies premium components for luxury vehicles.<br>Please confirm the part number before purchase. For compatibility checks or bulk orders, feel free to contact us.</p></div></div></div><div class=""fitment-container""><h3>Vehicle Fitment</h3><table class=""fitment""><thead><tr><th>Make</th><th>Model</th><th>Year</th></tr></thead><tbody><tr><td>Maserati</td><td>Ghibli</td><td>2014</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2015</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2016</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2017</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2018</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2019</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2020</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2021</td></tr></tbody></table></div><div class=""disclaimer""><h3>&#9888; Important Compatibility Notice</h3><p>PLEASE GET IN TOUCH WITH US FIRST IF YOU ARE UNSURE. Please take eBay's compatibility as a guide. Compatibility is provided on listings to give an indication of some of the cars this part will fit. However, it may not fit your car due to the many differences with specification and changes on model years. Please take eBay's compatibility as a guide. The best and the easiest way to quickly check if the part is right for you is to compare part numbers. We are experts; so, if in doubt please message us with your car reg or vin / chassis number and our technical team will be happy to advise.</p></div></div></div>",FixedPrice,GTC,Dubai,Maserati,Door Interior Trim Molding,Rear Right,,,Italy,670010893,670010893,Small Item Shipping Policy (30 Usd),BL Auto Return policy 1,BL Auto Payment Policy 1
,,,,Compatibility,Make=Maserati|Model=Ghibli|Year=2014,,,,,,,,,,,,,,,,,,,
,,,,Compatibility,Make=Maserati|Model=Ghibli|Year=2015,,,,,,,,,,,,,,,,,,,
,,,,Compatibility,Make=Maserati|Model=Ghibli|Year=2016,,,,,,,,,,,,,,,,,,,
,,,,Compatibility,Make=Maserati|Model=Ghibli|Year=2017,,,,,,,,,,,,,,,,,,,
,,,,Compatibility,Make=Maserati|Model=Ghibli|Year=2018,,,,,,,,,,,,,,,,,,,
,,,,Compatibility,Make=Maserati|Model=Ghibli|Year=2019,,,,,,,,,,,,,,,,,,,
,,,,Compatibility,Make=Maserati|Model=Ghibli|Year=2020,,,,,,,,,,,,,,,,,,,
,,,,Compatibility,Make=Maserati|Model=Ghibli|Year=2021,,,,,,,,,,,,,,,,,,,
Add,BU1-7410_Ghibli,262191,2014-2020 Maserati Ghibli Driver Side Dash Speaker Cover AAH84529SX,,,60,1,https://gridximges.s3.me-central-1.amazonaws.com/blackline/AAH84529SX_1.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/AAH84529SX_2.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/AAH84529SX_3.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/AAH84529SX_4.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/AAH84529SX_5.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/AAH84529SX_6.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/AAH84529SX_7.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/AAH84529SX_8.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/AAH84529SX_9.jpg|https://gridximges.s3.me-central-1.amazonaws.com/blackline/AAH84529SX_10.jpg,3000-Used,"<style>:root{--primary-black:#1a1a1a;--primary-white:#ffffff;--orange-primary:#fa5c1c;--orange-light:#fff4ed;--gray-text:#4a4a4a;--gray-light:#f9f9f9;--gray-border:#dce1e6;}body,html{margin:0;padding:0;background-color:var(--primary-white);color:var(--gray-text);font-family:Arial,Helvetica,sans-serif;}.wrapper{max-width:850px;margin:20px auto;background-color:var(--gray-light);border-radius:16px;padding:20px;box-sizing:border-box;border:2px solid var(--orange-primary);}.container{max-width:800px;margin:0 auto;padding:0;}.banner{width:100%;border-radius:12px;margin-bottom:20px;border:1px solid var(--orange-primary);}.header{display:flex;align-items:center;justify-content:space-between;gap:20px;padding:15px;background:var(--primary-white);border-radius:12px;border:1px solid var(--gray-border);flex-wrap:wrap;margin-bottom:25px;}.title-container{flex:1;min-width:300px;}.title{font-size:22px;font-weight:700;color:var(--primary-black);line-height:1.3;margin:0 0 5px 0;}.subtitle{font-size:15px;color:var(--gray-text);font-weight:500;}.stamp{width:200px;height:auto;object-fit:contain;flex-shrink:0;}.main-content{display:flex;flex-wrap:wrap;margin-bottom:25px;}.product-details{flex:1;min-width:320px;background:var(--primary-white);border:1px solid var(--gray-border);border-radius:12px;padding:25px;}.product-details h3{font-size:18px;font-weight:700;color:var(--primary-black);margin:0 0 15px 0;border-bottom:2px solid var(--orange-primary);padding-bottom:8px;}.product-details p{font-size:15px;line-height:1.6;margin:0 0 15px 0;}.product-details strong{font-weight:600;color:var(--primary-black);}.fitment-container h3{font-size:18px;font-weight:700;color:var(--primary-black);margin:0 0 15px 0;}.fitment-container{margin-top:25px;}.fitment-container table{border:1px solid var(--gray-border);border-radius:12px;overflow:hidden;}.fitment-container h3{border-bottom:2px solid var(--orange-primary);padding-bottom:8px;}.fitment-container table.fitment{width:100%;border-collapse:collapse;margin-bottom:25px;background:var(--primary-white);}table.fitment th,table.fitment td{padding:12px 15px;text-align:left;border-bottom:1px solid var(--gray-border);}table.fitment th{background-color:var(--primary-black);color:var(--primary-white);font-weight:600;font-size:15px;}table.fitment td{font-size:15px;}table.fitment tbody tr:last-child td{border-bottom:none;}table.fitment tbody tr:nth-child(even){background-color:var(--gray-light);}.seller-info{margin-top:20px;font-size:15px;line-height:1.6;}.seller-info ul{list-style:none;padding-left:0;}.seller-info li::before{content:"""";}.disclaimer{margin-top:25px;padding:20px;background:var(--orange-light);border:1px solid var(--orange-primary);border-radius:12px;}.disclaimer h3{font-size:16px;font-weight:700;color:var(--orange-primary);margin:0 0 10px 0;}.disclaimer p{font-size:14px;line-height:1.6;margin:0;color:var(--gray-text);}</style><div class=""wrapper""><div class=""container""><img src=""https://gridximges.s3.me-central-1.amazonaws.com/BLK_Desc_Banner.jpeg"" alt=""Blackline Banner"" class=""banner""/><div class=""header""><div class=""title-container""><h1 class=""title"">2014-2020 Maserati Ghibli Driver Side Dash Speaker Cover AAH84529SX</h1><p class=""subtitle""><strong>Vehicle:</strong> Maserati Ghibli | <strong>Model Years:</strong> 2014-2020 | <strong>Part No:</strong> AAH84529SX</p></div><img src=""https://gridximges.s3.me-central-1.amazonaws.com/logos/BLKStamp.jpg"" alt=""Authenticity Stamp"" class=""stamp"" /></div><div class=""main-content""><div class=""product-details""><h3>Product Description</h3><p>Genuine OEM Maserati Ghibli Driver Side Dash Speaker Cover (Part #AAH84529SX) in excellent condition. This authentic dashboard speaker grille is specifically designed for 2014-2017 Maserati Ghibli models, ensuring perfect fitment and factory-matched appearance. Professionally tested and verified to meet OEM specifications, this black plastic cover will restore your luxury vehicle's interior to its original elegance at a fraction of dealership cost.</p><p>Save significantly compared to purchasing new from the dealership while maintaining the premium look and feel of your Maserati. Each part undergoes thorough inspection before shipping to guarantee quality. Compatible with Maserati Ghibli 3.0 models including diesel variants. Backed by our 30-day warranty for complete peace of mind.</p><div class=""seller-info""><ul><li>&#9989; 100% tested and verified <b>By Blackline Auto's Quality Team</b></li><li>&#9989; <b>Genuine OEM, Excellent Condition</b>, inspected and approved</li><li>&#9989; Easy installation</li></ul><h3>Payment, Shipping & Returns</h3><ul><li><strong>&#128312; Payment Policy:</strong> We accept only online payment methods, and you can choose any of the options provided by eBay at the time of checkout. If you have any queries or if you require any clarification, please contact us through eBay messaging service.</li><li><strong>&#128312; Shipping Policy:</strong> We provide Shipping worldwide to most of the countries using reputed couriers like DHL, FedEx or Aramex.</li><li><strong>&#128312; International Buyers Policy:</strong> Import Duties, Taxes and charges are not included in the item price or shipping cost.</li><li><strong>&#128312; Return Policy:</strong> We accept 14 days returns. Please clarify all your doubts before purchase.</li><li><strong>&#128312; Handling Time:</strong> All packages are shipped within 3 working days.</li></ul><p>Trusted by professionals, Blackline Autos supplies premium components for luxury vehicles.<br>Please confirm the part number before purchase. For compatibility checks or bulk orders, feel free to contact us.</p></div></div></div><div class=""fitment-container""><h3>Vehicle Fitment</h3><table class=""fitment""><thead><tr><th>Make</th><th>Model</th><th>Year</th></tr></thead><tbody><tr><td>Maserati</td><td>Ghibli</td><td>2014</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2015</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2016</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2017</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2014</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2015</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2016</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2017</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2018</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2019</td></tr><tr><td>Maserati</td><td>Ghibli</td><td>2020</td></tr></tbody></table></div><div class=""disclaimer""><h3>&#9888; Important Compatibility Notice</h3><p>PLEASE GET IN TOUCH WITH US FIRST IF YOU ARE UNSURE. Please take eBay's compatibility as a guide. Compatibility is provided on listings to give an indication of some of the cars this part will fit. However, it may not fit your car due to the many differences with specification and changes on model years. Please take eBay's compatibility as a guide. The best and the easiest way to quickly check if the part is right for you is to compare part numbers. We are experts; so, if in doubt please message us with your car reg or vin / chassis number and our technical team will be happy to advise.</p></div></div></div>",FixedPrice,GTC,Dubai,Maserati,Dash Speaker Cover,Driver Side Left,Plastic,,Italy,AAH84529SX,AAH84529SX,Small Item Shipping Policy (30 Usd),BL Auto Return policy 1,BL Auto Payment Policy 1
